setup_id,tf,direction,R_used,s_planned,t_planned,rr_planned,rr_planned_logged,warn_rr_floor_violation,entry_planned,entry_fill,entry_shift_R,stop_final_from_fill,tp_final_from_fill,rr_realized_from_fill,rr_realized_from_prices,rr_distortion,warn_missing_fill,invariant_ts
TEST-LONG-001,1h,long,10.0,1.0,1.8,1.8,1.8,0,100.0,101.0,0.1,91.0,119.0,1.8,1.8,0.0,0,2025-08-23T20:54:11.437246+08:00
AUTO-BTCUSDT-4h-SHORT-20250823-2000,4h,short,1174.9728571428568,1.473578676893433,2.6524416184081745,1.7999999999999967,1.7999999999999967,0,115427.66321428573,,,,,,,,1,2025-08-24T04:00:20.308521+08:00
AUTO-BTCUSDT-4h-SHORT-20250823-1600,4h,short,1237.818571428572,1.395063104966912,2.5111135889404466,1.8000000000000036,1.8000000000000036,0,115122.33464285715,115427.03,-0.2461551023517084,117153.86501964284,112318.72696464286,1.8000000000000036,1.8000000000000034,1.2335811384723935e-16,0,2025-08-24T08:00:07.221083+08:00
AUTO-BTCUSDT-4h-SHORT-20250824-0000,4h,short,1139.1464285714278,1.5238098505773283,2.742857731039194,1.8000000000000016,1.8000000000000016,0,115722.83660714286,,,,,,,,1,2025-08-24T08:00:20.006530+08:00
TEST-DECISION-001,1h,long,10.0,1.0,1.8,1.8,1.8,0,100.0,,,,,,,,1,1755996592.344332
TEST-FILL-001,1h,long,10.0,1.0,1.8,1.8,1.8,0,100.0,101.0,0.1,91.0,119.0,1.8,1.8,0.0,0,1755996592.344411
TEST-VIOLATION-001,1h,long,10.0,1.0,1.2,1.2,1.5,1,100.0,,,,,,,,1,1755996592.3444924
TEST-SHORT-001,1h,short,10.0,1.0,1.8,1.8,1.8,0,100.0,99.0,-0.1,109.0,81.0,1.8,1.8,0.0,0,1755996592.3445365
MANUAL-BTCUSDT-4h-SHORT-20250824-100251,4h,short,1166.8671428571415,1.491857804230364,2.9999999999999947,2.010915511849112,2.010915511849112,0,116053.32357142855,,,,,,,,1,1756000971.2813168
MANUAL-ETHUSDT-4h-LONG-20250824-101821,4h,long,116.03999999999996,0.6100000000000042,3.0,4.918032786885212,4.918032786885212,0,4718.959999999999,,,,,,,,1,1756001901.5461361
MANUAL-ETHUSDT-4h-LONG-20250824-183944,4h,long,112.57499999999996,0.6235979347101943,1.2471958694203886,2.0,2.0,0,4680.1025,,,,,,,,1,1756031984.0062327
AUTO-BTCUSDT-4h-SHORT-20250824-2000,4h,short,921.595,1.836442234658384,3.3055960223850853,1.7999999999999967,1.7999999999999967,0,112830.39875,,,,,,,,1,1756065618.0081291
AUTO-BTCUSDT-4h-SHORT-20250825-0000,4h,short,974.9578571428564,1.749880550697786,3.1497849912560123,1.7999999999999985,1.7999999999999985,0,113737.31946428573,,,,,,,,1,1756080020.2452202
